libzeitgeist 0.3.18-4
licenses 20140629-1
linux 4.2.2-1
linux-api-headers 4.1.4-1
linux-firmware 20150904.6ebf5d5-1
llvm-libs 3.7.0-4
logrotate 3.9.1-1
lua 5.3.1-1
lua-lgi 0.9.0-1
lvm2 2.02.125-1
lz4 131-1
lzo 2.09-1
m4 1.4.17-1
make 4.1-1
man-db 2.7.3-1
man-pages 4.02-1
mdadm 3.3.4-1
mercurial 3.5.1-1
mesa 11.0.3-1
mesa-libgl 11.0.3-1
midori 0.5.11-1
mime-types 9-1
mkinitcpio 18-2
mkinitcpio-busybox 1.21.1-2
mozilla-common 1.4-4
mpfr 3.1.3.p4-1
mtdev 1.1.5-1
ncurses 6.0-3
netctl 1.11-1
nettle 3.1.1-1
npth 1.2-1
nspr 4.10.9-1
nss 3.20-1
opencore-amr 0.1.3-2
openjpeg 1.5.2-1
openresolv 3.7.1-1
openssl 1.0.2.d-1
opus 1.1-1
orc 0.4.24-1
p11-kit 0.23.1-3
pacman 4.2.1-4
pacman-mirrorlist 20151002-1
pam 1.2.1-1
pambase 20130928-1
pango 1.38.0-1
patch 2.7.5-1
pciutils 3.3.1-1
pcmciautils 018-7
pcre 8.37-4
perl 5.22.0-1
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-ipc-system-simple 1.25-1
pinentry 0.9.5-2
pixman 0.32.8-1
pkg-config 0.29-1
polkit 0.113-2
popt 1.16-7
procps-ng 3.3.11-2
psmisc 22.21-3
pth 2.0.7-5
python 3.5.0-2
python-packaging 15.3-2
python-pip 7.1.2-2
python-setuptools 1:18.3.2-1
python-xdg 0.25-3
python2 2.7.10-2
qt4 4.8.7-2
randrproto 1.5.0-1
readline 6.3.008-3
recordproto 1.14.2-2
reiserfsprogs 3.6.24-1
renderproto 0.11.1-3
rest 0.7.93-1
ruby 2.2.3-1
s-nail 14.8.5-1
schroedinger 1.0.11-2
screen 4.3.1-2
scrnsaverproto 1.2.2-2
sdl 1.2.15-7
sdl_image 1.2.12-3
sed 4.2.2-3
shadow 4.2.1-3
shared-mime-info 1.4-1
snappy 1.1.3-1
speech-dispatcher 0.8.3-6
speex 1.2rc2-1
speexdsp 1.2rc3-2
sqlite 3.8.11.1-3
startup-notification 0.12-4
sudo 1.8.14.p3-2
sysfsutils 2.1.0-9
systemd 226-3
systemd-sysvcompat 226-3
taglib 1.9.1-1
tar 1.28-1
telepathy-glib 0.24.1-1
texinfo 5.2-4
thin-provisioning-tools 0.4.1-1
transmission-cli 2.84-1
tree 1.7.0-1
ttf-freefont 20120503-4
tzdata 2015g-1
unzip 6.0-10
usbutils 008-1
util-linux 2.27-5
v4l-utils 1.6.3-1
videoproto 2.3.2-1
vim 7.4.884-1
vim-runtime 7.4.884-1
virtualbox 5.0.6-1
virtualbox-host-modules 5.0.6-1
vlc 2.2.1-8
wayland 1.9.0-1
webkitgtk 2.4.9-1
wget 1.16.3-1
which 2.21-1
wpa_supplicant 1:2.3-1
x265 1.8-1
xapian-core 1:1.2.21-1
xbitmaps 1.1.1-3
xcb-proto 1.11-2
xcb-util 0.4.0-1
xcb-util-cursor 0.1.2-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcompmgr 1.1.7-1
xdg-utils 1.1.1-1
xextproto 7.3.0-1
xf86-input-evdev 2.9.2-1
xf86vidmodeproto 2.3.1-3
xfsprogs 4.2.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.15-1
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-4
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-2
xorg-mkfontscale 1.1.2-1
xorg-server 1.17.2-4
xorg-server-common 1.17.2-4
xorg-setxkbmap 1.3.1-1
xorg-xauth 1.0.9-1
xorg-xinit 1.3.4-3
xorg-xkbcomp 1.3.0-1
xorg-xmessage 1.0.4-2
xorg-xset 1.2.3-1
xproto 7.0.28-1
xterm 320-2
xvidcore 1.3.4-1
xz 5.2.2-1
zeitgeist 0.9.15-2
zlib 1.2.8-4
zvbi 0.2.35-1
